                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4219,                 5.9458,                 4.2666,                0.00033,                0.07156,                0.00025,                0.00011,                 4.2656,                 22.062,                 3.9304,             0.00064762,             0.00064762,             0.00064762
                      2,                  2.726,                 3.6143,                 3.1557,                0.00298,                0.15742,                0.00172,                0.00077,                 4.3863,                 21.241,                 3.9583,              0.0012275,              0.0012275,              0.0012275
                      3,                 2.1903,                 2.5937,                 2.5755,                0.06958,                0.00716,                0.08227,                0.03223,                 4.2326,                 11.258,                 3.6359,              0.0017195,              0.0017195,              0.0017195
                      4,                 1.9249,                  2.094,                 2.2411,                0.62543,                0.47227,                0.56174,                0.23316,                 1.9661,                 2.4254,                 2.1235,               0.001604,               0.001604,               0.001604
                      5,                   1.73,                 1.6706,                 1.9658,                0.43968,                0.64222,                 0.4041,                0.20258,                 1.7951,                 3.1254,                 2.0024,               0.001604,               0.001604,               0.001604
                      6,                 1.4728,                 1.6073,                 1.7291,                0.85413,                0.74369,                0.82969,                0.54965,                 1.4041,                 1.6591,                 1.7089,               0.001472,               0.001472,               0.001472
                      7,                 1.3272,                 1.3976,                   1.66,                0.87439,                0.67084,                 0.8415,                0.53631,                 1.4257,                  1.741,                 1.6816,                0.00134,                0.00134,                0.00134
                      8,                 1.2705,                 1.1924,                 1.5584,                0.91904,                0.84794,                0.93752,                 0.6447,                 1.2199,                 1.0553,                 1.4498,               0.001208,               0.001208,               0.001208
                      9,                 1.1821,                 1.0591,                 1.4962,                0.96413,                0.92844,                0.97511,                0.62489,                 1.3264,                0.98956,                 1.4467,               0.001076,               0.001076,               0.001076
                     10,                  1.222,                 1.0334,                 1.4891,                0.95921,                0.82469,                0.95128,                0.69077,                 1.1065,                 1.0021,                 1.3951,               0.000944,               0.000944,               0.000944
                     11,                 1.1104,                0.90687,                 1.3842,                0.99475,                0.95886,                0.99022,                0.74644,                0.96306,                 0.7582,                 1.3223,               0.000812,               0.000812,               0.000812
                     12,                 1.0275,                0.82579,                 1.3369,                0.99479,                0.93202,                0.99005,                 0.7434,                 1.0168,                0.73259,                 1.3017,                0.00068,                0.00068,                0.00068
                     13,                0.93251,                0.75273,                 1.2747,                0.98376,                0.97502,                0.99386,                0.77542,                0.97869,                0.71182,                 1.2241,               0.000548,               0.000548,               0.000548
                     14,                0.91875,                0.73271,                   1.26,                0.98988,                0.97496,                0.99435,                0.76996,                0.92121,                  0.722,                 1.2005,               0.000416,               0.000416,               0.000416
                     15,                0.89796,                0.69712,                 1.2482,                0.98821,                0.98211,                0.99463,                0.80294,                0.80956,                0.61274,                 1.1684,               0.000284,               0.000284,               0.000284
